Url,rating,IsCity,IsProfile,IsLinks,FriendCount,PhotoCount,PagesCount,FollowersCount,AlbumsCount,VideosCount,AudiosCount,OfflineDays,HasPhoto,Site,Career,Education,following_followers_ratio,following_photos_ratio,followers_photos_ratio
https://vk.com/id726210,1,1,0,0,951,1,296,64,0,3,0,0,1,0,0,0,14.859375,951.0,64.0
https://vk.com/id726389,1,1,0,0,238,65,44,94,1,27,0,0,1,0,0,0,2.5319149,3.6615385,1.4461538
https://vk.com/id747867,1,1,0,1,2561,1836,646,1995,0,583,0,0,1,1,0,0,1.2837093,1.3948802,1.0866013
https://vk.com/id755185,1,1,0,0,9986,1283,417,978,4,328,0,0,1,0,0,0,10.2106339,7.7833203,0.7622759
https://vk.com/id772489,1,0,0,0,32150,2,1711,856,0,191,0,0,1,1,0,0,37.5584112,16075.0,428.0
https://vk.com/id795987,1,1,0,1,452,755,205,905,5,74,262,0,1,0,0,0,0.4994475,0.5986755,1.1986755
https://vk.com/id840639,1,1,1,1,4499,6181,229,438,37,1380,1081,0,1,1,1,1,10.2716895,0.7278757,0.0708623
https://vk.com/id881845,1,1,1,0,356,61,202,312,0,140,798,0,1,1,0,1,1.1410256,5.8360656,5.1147541
https://vk.com/id891558,1,0,0,0,98,14,340,854,1,171,0,0,1,0,0,0,0.1147541,7.0,61.0
https://vk.com/id907050,1,1,1,1,337,477,86,204,2,123,1026,0,1,0,0,1,1.6519608,0.706499,0.427673
https://vk.com/id925509,1,1,0,0,1767,4,437,651,0,100,0,0,1,0,0,0,2.7142857,441.75,162.75
https://vk.com/id955844,1,1,1,1,312,288,86,478,3,46,265,1,1,1,0,1,0.6527197,1.0833333,1.6597222
https://vk.com/id989390,0,1,0,0,1968,6,4472,499,0,50,42,48,1,0,0,0,3.9438878,328.0,83.1666667
https://vk.com/id989794,1,1,0,0,59,113,41,83,1,19,0,0,1,1,0,0,0.7108434,0.5221239,0.7345133
https://vk.com/id1010365,1,0,0,0,342,22,153,392,0,332,486,1,1,0,0,0,0.872449,15.5454545,17.8181818
https://vk.com/id1020726,1,1,0,1,356,18,136,459,0,96,0,4,1,0,0,0,0.7755991,19.7777778,25.5
https://vk.com/id1026182,1,1,1,0,2491,658,74,27,2,50,0,0,1,1,1,0,92.2592593,3.7857143,0.0410334
https://vk.com/id1026796,1,0,0,0,122,46,268,191,0,175,0,0,1,0,0,0,0.6387435,2.6521739,4.1521739
https://vk.com/id1042339,1,1,0,0,111,25,12,102,2,16,131,0,1,1,0,0,1.0882353,4.44,4.08
https://vk.com/id1048705,1,1,1,1,332,932,273,877,15,1509,319,0,1,0,1,1,0.3785633,0.3562232,0.9409871
https://vk.com/id1072765,1,1,0,1,915,297,230,1002,2,84,0,0,1,1,0,0,0.9131737,3.0808081,3.3737374
https://vk.com/id1103861,1,1,0,1,115014,1116,144,422,7,2533,0,0,1,0,0,0,272.5450237,103.0591398,0.3781362
https://vk.com/id1130100,1,1,0,0,334,38,30,95,1,135,142,1,1,0,0,0,3.5157895,8.7894737,2.5
https://vk.com/id1154243,1,1,0,0,242,25,388,368,0,15,0,0,1,0,0,0,0.6576087,9.68,14.72
https://vk.com/id1171181,1,1,1,1,77,483,189,159,14,253,1437,0,1,1,1,1,0.4842767,0.1594203,0.3291925
https://vk.com/id1185291,1,1,0,0,11507,3,972,2232,2,481,0,0,1,1,0,0,5.1554659,3835.6666667,744.0
https://vk.com/id1204097,1,1,0,0,1619,542,669,1226,3,3015,1147,0,1,0,0,0,1.3205546,2.9870849,2.2619926
https://vk.com/id1243783,1,1,0,1,531,141,150,240,10,108,584,0,1,1,0,0,2.2125,3.7659574,1.7021277
https://vk.com/id1246719,1,1,0,1,28150,48,66,218,0,203,338,15,1,0,0,0,129.1284404,586.4583333,4.5416667
https://vk.com/id1256807,1,1,0,0,475,39,140,401,1,49,188,0,1,1,0,0,1.1845387,12.1794872,10.2820513
https://vk.com/id1280865,1,1,0,0,153,207,182,116,8,213,273,0,1,0,0,0,1.3189655,0.7391304,0.5603865
